Date, Close/Last, Volume, Open, High, Low
01/29/2021, 97.915, N/A, 97.915, 97.915, 97.915
01/28/2021, 98.005, N/A, 98.005, 98.005, 98.005
01/27/2021, 98.065, N/A, 98.065, 98.065, 98.065
01/26/2021, 98.04, N/A, 98.04, 98.04, 98.04
01/25/2021, 98.045, N/A, 98.045, 98.045, 98.045
01/22/2021, 97.995, N/A, 97.995, 97.995, 97.995
01/21/2021, 97.985, N/A, 97.985, 97.985, 97.985
01/20/2021, 98.035, N/A, 98.035, 98.035, 98.035
01/19/2021, 98.025, N/A, 98.025, 98.025, 98.025
01/15/2021, 98, N/A, 98, 98, 98
01/14/2021, 97.95, N/A, 97.95, 97.95, 97.95
01/13/2021, 98.04, N/A, 98.04, 98.04, 98.04
01/12/2021, 97.96, N/A, 97.96, 97.96, 97.96
01/11/2021, 97.935, N/A, 97.935, 97.935, 97.935
01/08/2021, 97.985, N/A, 97.985, 97.985, 97.985
01/07/2021, 98.045, N/A, 98.045, 98.045, 98.045
01/06/2021, 98.145, N/A, 98.145, 98.145, 98.145
01/05/2021, 98.25, N/A, 98.25, 98.25, 98.25
01/04/2021, 98.325, N/A, 98.325, 98.325, 98.325
12/31/2020, 99.825, 123146, 99.83, 99.835, 99.825
12/30/2020, 99.83, 44683, 99.83, 99.83, 99.825
12/29/2020, 99.825, 52710, 99.83, 99.83, 99.825
12/28/2020, 99.83, 33459, 99.825, 99.83, 99.825
12/24/2020, 99.825, 130532, 99.815, 99.835, 99.815
12/23/2020, 99.815, 94456, 99.82, 99.825, 99.815
12/22/2020, 99.82, 42618, 99.825, 99.825, 99.82
12/21/2020, 99.825, 69019, 99.83, 99.83, 99.82
12/18/2020, 99.83, 90377, 99.82, 99.83, 99.82
12/17/2020, 99.825, 79982, 99.825, 99.825, 99.815
12/16/2020, 99.825, 96049, 99.825, 99.825, 99.815
12/15/2020, 99.825, 110062, 99.825, 99.83, 99.82
12/14/2020, 99.83, 155317, 99.83, 99.83, 99.825
12/11/2020, 99.83, 192776, 99.82, 99.83, 99.825
12/10/2020, 99.815, 242481, 99.805, 99.82, 99.805
12/09/2020, 99.805, 244119, 99.795, 99.81, 99.79
12/08/2020, 99.795, 97875, 99.8, 99.8, 99.79
12/07/2020, 99.8, 52236, 99.795, 99.8, 99.795
12/04/2020, 99.795, 71714, 99.8, 99.8, 99.795
12/03/2020, 99.8, 98139, 99.79, 99.805, 99.79
12/02/2020, 99.795, 79774, 99.79, 99.795, 99.79
12/01/2020, 99.79, 90986, 99.79, 99.795, 99.785
11/30/2020, 99.795, 113143, 99.785, 99.795, 99.785
