Date, Close/Last, Volume, Open, High, Low
01/29/2021, $132.91, 918029, $137.67, $137.67, $131.97
01/28/2021, $138.33, 3847704, $133.9, $141.67, $131
01/27/2021, $120.83, 1065029, $127, $128.442, $120.83
01/26/2021, $129.52, 698737, $131.19, $131.95, $128.34
01/25/2021, $130.88, 633237, $132.37, $132.83, $127.78
01/22/2021, $130.88, 540885, $129.48, $131.27, $128.01
01/21/2021, $129.56, 746677, $131.64, $132.33, $128.46
01/20/2021, $130.39, 935145, $127, $130.53, $126.28
01/19/2021, $125.55, 795160, $125.32, $126.64, $124.01
01/15/2021, $124.12, 416096, $124.73, $125.11, $122.72
01/14/2021, $124.6, 475888, $124.16, $124.85, $123.53
01/13/2021, $124.51, 613455, $128.93, $128.95, $124.48
01/12/2021, $128.5, 519538, $130.11, $130.95, $128
01/11/2021, $129.16, 945989, $126.27, $129.87, $126.26
01/08/2021, $127.94, 1010310, $125.82, $129.26, $125.82
01/07/2021, $125.45, 706122, $119.76, $125.53, $119.76
01/06/2021, $119, 1352024, $118.03, $121.125, $117.02
01/05/2021, $118.51, 490316, $118.06, $119.87, $117.365
01/04/2021, $118.18, 710615, $120.07, $120.64, $116.02
12/31/2020, $119.61, 377783, $119.6, $120.265, $118.71
12/30/2020, $119.51, 283281, $118.76, $120.16, $118.3
12/29/2020, $117.77, 293448, $118.8, $118.94, $116.98
12/28/2020, $118.81, 392789, $121.36, $121.75, $118
12/24/2020, $119.85, 189409, $119.82, $120.18, $119.04
12/23/2020, $119.17, 392551, $119.98, $121.245, $118.87
12/22/2020, $120.02, 439212, $120.49, $121.55, $119.58
12/21/2020, $120.14, 730441, $116.74, $120.37, $115.85
12/18/2020, $118.39, 1858581, $119.37, $119.97, $117.39
12/17/2020, $118.47, 835874, $116, $118.52, $115.65
12/16/2020, $115.07, 989973, $115.42, $116.79, $114.19
12/15/2020, $114.05, 649312, $114.3, $115.5, $113.01
12/14/2020, $113.83, 746012, $113.2, $116.23, $112.94
12/11/2020, $112.98, 706090, $111.9, $113.68, $111.775
12/10/2020, $112.66, 535148, $111.13, $113.04, $110
12/09/2020, $111.57, 723577, $113.24, $114.03, $110.78
12/08/2020, $111.3, 321065, $111.64, $112.04, $111
12/07/2020, $111.15, 410030, $110.26, $111.5, $109.1001
12/04/2020, $109.6, 596879, $108.45, $110.09, $108.45
12/03/2020, $107.98, 462640, $107.06, $109.32, $107.01
12/02/2020, $107.26, 597532, $107.59, $107.74, $106.35
12/01/2020, $108.53, 730131, $108.27, $108.93, $106.95
11/30/2020, $107.85, 914335, $109.51, $110.625, $107.57
11/27/2020, $108.61, 387145, $106.12, $108.8, $106.04
11/25/2020, $105.96, 645336, $104.25, $106.3, $103.62
11/24/2020, $103.91, 626939, $104, $104.12, $102.21
11/23/2020, $103.19, 475666, $102.08, $103.695, $101
11/20/2020, $101.14, 466678, $100, $102.03, $99.35
